dec,hex,opcode,o0,runs999999,diff,relDiff
8,0x08,ADDMOD,1,0,-1,-100 %
60,0x3C,EXTCODECOPY,1,0,-1,-100 %
83,0x53,MSTORE8,0,1,1,100 %
105,0x69,PUSH10,0,1,1,100 %
107,0x6B,PUSH12,0,1,1,100 %
117,0x75,PUSH22,0,1,1,100 %
118,0x76,PUSH23,1,0,-1,-100 %
140,0x8C,DUP13,0,2,2,100 %
153,0x99,SWAP10,0,1,1,100 %
163,0xA3,LOG3,0,1,1,100 %
10,0x0A,EXP,88,1,-87,-99 %
243,0xF3,RETURN,45,1,-44,-98 %
0,0x00,STOP,25,1,-24,-96 %
4,0x04,DIV,85,5,-80,-94 %
53,0x35,CALLDATALOAD,6,41,35,85 %
138,0x8A,DUP11,23,6,-17,-74 %
137,0x89,DUP10,31,10,-21,-68 %
103,0x67,PUSH8,6,2,-4,-67 %
136,0x88,DUP9,37,13,-24,-65 %
27,0x1B,SHL,67,24,-43,-64 %
3,0x03,SUB,240,92,-148,-62 %
80,0x50,POP,1366,527,-839,-61 %
2,0x02,MUL,46,18,-28,-61 %
86,0x56,JUMP,1041,410,-631,-61 %
145,0x91,SWAP2,498,205,-293,-59 %
91,0x5B,JUMPDEST,1347,600,-747,-55 %
97,0x61,PUSH2,1876,914,-962,-51 %
28,0x1C,SHR,1,2,1,50 %
100,0x64,PUSH5,2,1,-1,-50 %
139,0x8B,DUP12,10,5,-5,-50 %
141,0x8D,DUP14,1,2,1,50 %
162,0xA2,LOG2,2,1,-1,-50 %
144,0x90,SWAP1,970,490,-480,-49 %
150,0x96,SWAP7,21,11,-10,-48 %
131,0x83,DUP4,302,161,-141,-47 %
115,0x73,PUSH20,202,117,-85,-42 %
25,0x19,NOT,51,30,-21,-41 %
130,0x82,DUP3,427,252,-175,-41 %
127,0x7F,PUSH32,85,142,57,40 %
133,0x85,DUP6,81,51,-30,-37 %
81,0x51,MLOAD,362,239,-123,-34 %
146,0x92,SWAP3,193,128,-65,-34 %
151,0x97,SWAP8,9,6,-3,-33 %
152,0x98,SWAP9,2,3,1,33 %
96,0x60,PUSH1,1972,1319,-653,-33 %
135,0x87,DUP8,79,53,-26,-33 %
134,0x86,DUP7,99,67,-32,-32 %
241,0xF1,CALL,31,21,-10,-32 %
90,0x5A,GAS,65,45,-20,-31 %
62,0x3E,RETURNDATACOPY,66,46,-20,-30 %
250,0xFA,STATICCALL,34,24,-10,-29 %
61,0x3D,RETURNDATASIZE,171,121,-50,-29 %
59,0x3B,EXTCODESIZE,65,46,-19,-29 %
132,0x84,DUP5,110,78,-32,-29 %
82,0x52,MSTORE,282,397,115,29 %
128,0x80,DUP1,778,562,-216,-28 %
149,0x95,SWAP6,33,24,-9,-27 %
21,0x15,ISZERO,340,252,-88,-26 %
161,0xA1,LOG1,4,3,-1,-25 %
18,0x12,SLT,29,22,-7,-24 %
22,0x16,AND,317,241,-76,-24 %
253,0xFD,REVERT,204,156,-48,-24 %
99,0x63,PUSH4,216,167,-49,-23 %
1,0x01,ADD,602,480,-122,-20 %
87,0x57,JUMPI,319,264,-55,-17 %
148,0x94,SWAP5,30,25,-5,-17 %
147,0x93,SWAP4,64,54,-10,-16 %
129,0x81,DUP2,541,457,-84,-16 %
32,0x20,KECCAK256,7,6,-1,-14 %
84,0x54,SLOAD,98,86,-12,-12 %
51,0x33,CALLER,17,15,-2,-12 %
20,0x14,EQ,97,88,-9,-9 %
23,0x17,OR,11,10,-1,-9 %
17,0x11,GT,31,30,-1,-3 %
54,0x36,CALLDATASIZE,46,45,-1,-2 %
16,0x10,LT,28,28,0,0 %
48,0x30,ADDRESS,3,3,0,0 %
52,0x34,CALLVALUE,1,1,0,0 %
55,0x37,CALLDATACOPY,3,3,0,0 %
85,0x55,SSTORE,11,11,0,0 %
254,0xFE,INVALID,1,1,0,0 %